2021-05-27,10
2021-05-28,12
2021-05-30,2
2021-05-31,45
2021-06-01,8
2021-06-02,49
2021-06-03,17
2021-06-06,4
2021-06-07,22
2021-06-08,2
2021-06-11,1
2021-07-22,5
2021-07-31,2
2021-08-01,6
2021-08-02,9
2021-08-03,1
2021-08-06,3
2021-08-07,2
2021-08-08,4
2021-08-10,3
2021-08-11,6
2021-08-21,2
2021-08-27,1
2021-08-29,4
2021-08-31,5
2021-09-01,22
2021-09-02,59
2021-09-03,9
2021-09-04,34
2021-09-05,8
2021-09-07,2
2021-09-08,33
2021-09-09,4
2021-09-12,18
2021-09-13,1
2021-09-14,5
2021-09-15,12
2021-09-16,10
2021-09-17,11
2021-09-18,14
2021-09-19,48
2021-09-20,39
2021-09-21,19
2021-09-22,59
2021-09-23,113
2021-09-24,38
2021-09-25,49
2021-09-26,47
2021-09-27,42
2021-09-28,100
2021-09-29,40
2021-09-30,28
2021-10-01,130
2021-10-02,47
2021-10-03,39
2021-10-04,48
2021-10-05,35
2021-10-06,19
2021-10-07,41
2021-10-08,128
2021-10-09,31
2021-10-10,113
2021-10-11,1334
2021-10-12,123
2021-10-13,394
2021-10-14,103
2021-10-15,191
2021-10-16,95
2021-10-17,219
2021-10-18,107
2021-10-19,69
2021-10-20,113
2021-10-21,41
2021-10-22,27
2021-10-23,27
2021-10-24,32
2021-10-25,27
2021-10-26,26
2021-10-27,13
2021-10-28,72
2021-10-29,23
2021-10-30,19
2021-10-31,23
2021-11-01,17
2021-11-02,15
2021-11-03,32
2021-11-04,8
2021-11-05,17
2021-11-06,17
2021-11-07,28
2021-11-08,23
2021-11-09,41
2021-11-10,116
2021-11-11,18
2021-11-12,18
2021-11-13,232
2021-11-14,355
2021-11-15,265
2021-11-16,1
2021-11-19,228
2021-11-20,117
2021-11-21,409
2021-11-22,35
2021-11-23,130
2021-11-24,49
2021-11-25,36
2021-11-26,44
2021-11-27,285
2021-11-28,121
2021-11-29,71
2021-11-30,46
2021-12-01,90
2021-12-02,168
2021-12-03,42
2021-12-04,30
2021-12-05,61
2021-12-06,52
2021-12-07,18
2021-12-08,14
2021-12-09,13
2021-12-10,25
2021-12-11,14
2021-12-12,11
2021-12-13,13
2021-12-14,29
2021-12-15,56
2021-12-16,30
2021-12-17,35
2021-12-18,25
2021-12-19,56
2021-12-20,33
2021-12-21,13
2021-12-22,6
2021-12-23,5
2021-12-24,3
2021-12-25,9
2021-12-26,2
2021-12-27,13
2021-12-28,4
2021-12-29,3
2021-12-31,6
2022-01-01,2
2022-01-02,29
2022-01-03,14
2022-01-04,14
2022-01-05,18
2022-01-06,198
2022-01-07,39
2022-01-08,44
2022-01-09,22
2022-01-10,35
2022-01-11,67
2022-01-12,200
2022-01-13,63
2022-01-14,95
2022-01-15,11
2022-01-16,7
2022-01-17,34
2022-01-18,50
2022-01-19,12
2022-01-20,9
2022-01-21,9
2022-01-22,2
2022-01-23,9
2022-01-24,6
2022-01-25,13
2022-01-26,1
2022-01-28,62
2022-01-29,268
2022-01-30,142
2022-01-31,181
2022-02-01,65
2022-02-02,44
2022-02-03,29
2022-02-04,47
2022-02-05,45
